Title,Description,Price,Manufactured Year,Region
"Chevrolet Lacetti, 2 позиция","Торг есть 2015г., 1.5 л, Газ-бензин, 214 000 км, Седан, КПП Механика, Противотуманки, Обогрев зеркал, Аудиосистема, Гидравлика руля, ABS…",9800,2015,Джизак
"Chevrolet Lacetti, 2 позиция","2019г., 1.5 л, Газ-бензин, 120 км, Седан, КПП Механика, Литые диски, Противотуманки, Обогрев зеркал, Кожа, Шторки, Аудиосистем…",12100,2019,Ташкент
Daewoo Nexia,"Торг есть 2002г., 1 л, Газ-бензин, 500 000 км, Мокрый асфальт, Седан, КПП Механика, Шторки, Аудиосистема, Встроенный телефон, Bluetooth,…",4000,2002,Фергана
"Chevrolet Nexia 3, 3 позиция","2017г., 1.5 л, Бензин, 35 000 км, Белый, Седан, КПП Автомат, Литые диски, Обвес, Багажник, Дневные ходовые огни, Противотуманк…",9669,2017,Навои
ВАЗ (Lada) 2107,"Торг есть 2007г., 1.5 л, Газ-бензин, 200 000 км, Белый, Седан, КПП Механика, Жигули 2107 сотилади холати яхши салони яхши юрадиган мошин…",3400,2007,Ташкент
Chevrolet Damas,"2013г., 0.8 л, Газ-бензин, 280 000 км, Внедорожник, КПП Механика, Аудиосистема, Вложений не требует, Orqa kriloda mayda kraska…",6200,2013,Ташкент
ВАЗ (Lada) Самара (седан 21099),"1996г., 1.5 л, Бензин, 48 000 км, Белый, Седан, КПП Механика, Не битый. Салон 21015. Рулевое управление электрическое. Стеклоп…",2500,1996,Алмалык
Chevrolet Cruze,"Торг есть 2009г., 1.6 л, Газ-бензин, 95 000 км, Белый, Седан, КПП Автомат, Литые диски, Люк, Противотуманки, Дневные ходовые огни, Кожа,…",9500,2009,Самарканд
JAC S3,"2019г., 1.6 л, Бензин, 19 300 км, Кроссовер, КПП Механика, Bluetooth, USB, Вложений не требует, Машина не битая, не крашеная,…",14000,2019,Фергана
Chevrolet Nexia 2,"Торг есть 2015г., Газ-бензин, 276 500 км, Мокрый асфальт, Седан, КПП Механика, Краска тоза, срочно сотаман келишамиз, тел килилар",6500,2015,Ташкент
"Chevrolet Orlando, 2 позиция","Торг есть 2014г., 1.8 л, Бензин, 51 000 км, Белый, Минивэн, КПП Механика, Литые диски, Дневные ходовые огни, Противотуманки, Аудиосистем…",14000,2014,Фергана
ВАЗ (Lada) Largus,"Торг есть 2018г., 1.6 л, Газ-бензин, 32 200 км, Белый, Внедорожник, КПП Механика, Краска ек бир кул минилган",13500,2018,Фергана
"Chevrolet Spark, 4 позиция","2022г., 1.3 л, Бензин, 11 км, Хэтчбек, КПП Механика, Литые диски, Противотуманки, Аудиосистема, Bluetooth, USB, Гидравлика рул…",10200,2022,Ташкент
Chevrolet TrailBlazer,"Торг есть 2021г., 3.6 л, Бензин, Белый, Внедорожник, КПП Автомат, Тонировка, Кожа, USB, Встроенный телефон, Аудиосистема, Bluetooth, MP3…",32000,2021,Самарканд
Daewoo Nexia,"Торг есть 2006г., 1.5 л, Газ-бензин, 611 000 км, Молочный цвет, Седан, КПП Механика, Противотуманки, Обогрев зеркал, Кожа, Шторки, Аудио…",4340,2006,Ташкент
"Chevrolet Lacetti, 3 позиция","2013г., 1.6 л, Бензин, Седан, КПП Автомат, Люк, Литые диски, Обогрев зеркал, Противотуманки, Аудиосистема, Гидравлика руля, По…",10000,2013,Ташкент
Mitsubishi Pajero,"2008г., 3 л, Бензин, Черный, Внедорожник, КПП Автомат, Фаркоп, Литые диски, Люк, Тонировка, Линзованная оптика, Кожа, Bluetoot…",19500,2008,Ташкент
"Chevrolet Lacetti, 2 позиция","Торг есть 2013г., 1.8 л, Газ, 122 000 км, Черный, Седан, КПП Механика, Литые диски, Тонировка, Багажник, Биксенон, Противотуманки, Дерев…",9300,2013,Ташкент
Chevrolet Damas,"Торг есть 2020г., 0.8 л, Бензин, 50 000 км, Белый, Универсал, КПП Механика, Тонировка, Противотуманки, Линзованная оптика, Аудиосистема,…",7200,2020,Самарканд
Daewoo Nexia,"Есть доставка 2007г., 1.5 л, Газ-бензин, 176 000 км, Белый, Седан, КПП Механика, Ветровики, Ксенон, Обогрев зеркал, Шторки, Аудиосистема, Це…",4200,2007,Навои
"Chevrolet Cobalt, 4 позиция","2021г., 1.5 л, Бензин, 7 000 км, Белый, Седан, КПП Автомат, Обогрев зеркал, Противотуманки, Аудиосистема, Bluetooth, MP3, Встр…",12600,2021,Ташкент
Daewoo Matiz (Standart),"Торг есть 2005г., 1 л, Газ-бензин, 354 668 км, Серый, Седан, КПП Механика, Литые диски, Тонировка, Противотуманки, Алькантара, Гидравлик…",3300,2005,Чиназ
"Chevrolet Lacetti, 1 позиция","Торг есть 2010г., 1.8 л, Газ-бензин, 240 км, Белый, Седан, КПП Механика, Литые диски, Ксенон, Обогрев зеркал, Кожа, Комбинированный, Што…",7500,2010,Ташкент
Chevrolet Matiz,"Торг есть 2009г., 0.8 л, Бензин, 285 000 км, Серебристый, Хэтчбек, КПП Механика, Литые диски, Ветровики, Шторки, Аудиосистема, CD, MP3,…",3800,2009,Ташкент
Chevrolet Malibu 2,"2021г., Бензин, 3 900 км, Седан, КПП Автомат, Литые диски, Тонировка, Люк, Ксенон, Противотуманки, Обогрев зеркал, Кожа, Аудио…",33500,2021,Ташкент
"Chevrolet Lacetti, 3 позиция","Торг есть 2021г., 1.5 л, Газ-бензин, 9 000 км, Мокрый асфальт, Седан, КПП Автомат, Литые диски, Люк, Ксенон, Хрустальная оптика, Противо…",16000,2021,Зарафшан
Tofas Dogan,"Торг есть 1993г., 1.2 л, Газ-бензин, Жёлтый, Седан, КПП Механика, Тонировка, Велюр, Техосмотр пройден, Вложений не требует, Kurikdan utg…",1842,1993,Джаркурганский район
Москвич АЗЛК 2140,"1983г., Бензин, 17 576 км, Жёлтый, Седан, КПП Механика, Maskvich azlk 2140",1100,1983,Ташкент
"Chevrolet Cobalt, 2 евро позиция","2014г., 1.5 л, Бензин, 208 000 км, Мокрый асфальт, Седан, КПП Механика, Литые диски, Противотуманки, Обогрев зеркал, Аудиосист…",8500,2014,Ташкент
Daewoo Nexia,"Торг есть 2006г., 1.5 л, Бензин, 205 300 км, Белый, Седан, КПП Механика, Ветровики, Противотуманки, Велюр, Аудиосистема, Гидравлика руля…",5000,2006,Ташкент
ВАЗ (Lada) 2106,"Торг есть 1982г., 1.1 л, Газ-бензин, 7 306 км, Седан, КПП Механика, Аудиосистема, Встроенный телефон, Bluetooth, MP3, USB, Lodichka qili…",2500,1982,Самарканд
УАЗ 390902,"Торг есть 1989г., 1.9 л, Бензин, Микроавтобус, КПП Механика",3223,1989,Шахрисабзский район
Daewoo Nexia,"1998г., Газ, Молочный цвет, Седан, КПП Механика",3000,1998,Ташкент
"Chevrolet Nexia 2, 2 позиция DOHC","2009г., 1.6 л, Газ-бензин, 228 000 км, Черный, Седан, КПП Механика, Противотуманки, Обогрев зеркал, Аудиосистема, Гидравлика р…",5800,2009,Ташкент
"Chevrolet Spark, 1 позиция","2012г., 1.2 л, Газ-бензин, 170 км, Белый, Хэтчбек, КПП Механика, Аудиосистема, Гидравлика руля",5064,2012,Навои
Toyota Yaris,"Торг есть 2008г., 1.3 л, Бензин, 172 000 км, Седан, КПП Робот, Литые диски, Аудиосистема, Bluetooth, CD, MP3, USB, Гидравлика руля, ABS,…",10000,2008,Зангиатинский район
"Chevrolet Lacetti, 1 позиция","2010г., 1.8 л, Газ-бензин, 180 000 км, Седан, КПП Механика, Обогрев зеркал, Аудиосистема, Встроенный телефон, CD-чейнджер, Гид…",7700,2010,Навои
Daewoo Tico,"1997г., Бензин, Внедорожник, КПП Механика",1381,1997,Самарканд
"Chevrolet Lacetti, 1 позиция Газ-бензин","Торг есть 2009г., 1.8 л, Газ-бензин, 200 000 км, Белый, Седан, КПП Механика, Литые диски, Тонировка, Ветровики, Обогрев зеркал, Велюр, К…",7150,2009,Зарафшан
Chevrolet Damas,"2017г., Бензин, 96 000 км, Универсал, КПП Механика, Мос карабка жим",6800,2017,Наманган
"Chevrolet Nexia 2, 3 позиция SOHC","Торг есть 2008г., 1.5 л, Газ-бензин, 437 000 км, Седан, КПП Механика, Противотуманки, Аудиосистема, Встроенный телефон, Bluetooth, CD, C…",6000,2008,Сайхунабадский район
Volkswagen ID.4,"2021г., Электричество, Мокрый асфальт, Кроссовер, КПП Робот, Кожа, Алькантара, Янги Тошкентда VW id.4 X Pro Растаможка килинга…",46500,2021,Ташкент
ГАЗ 31029 (Волга),"Торг есть 1997г., Газ-бензин, 100 000 км, Белый, Седан, КПП Механика, Велюр, Холати яхши кузиф чиримаган хайдаш учун таййор Метан 100 та…",1473,1997,Термез
Chevrolet Damas,"Торг есть 2021г., 1.2 л, Бензин, Белый, Микроавтобус, КПП Механика, 2022 fevralni ohirida chiqadi. Boshqa moshinaga barter qilinadi",8400,2021,Андижан
"Chevrolet Malibu, 1 позиция","Торг есть 2012г., 2.4 л, Газ-бензин, 83 000 км, Белый, Седан, КПП Механика, Литые диски, Багажник, Ксенон, Дневные ходовые огни, Противо…",13500,2012,Нишанский район
Hummer H3,"Торг есть 2008г., 3.7 л, Бензин, 65 982 км, Черный, Внедорожник, КПП Автомат, Тонировка, Панорамная крыша, Рейлинги, Хрустальная оптика,…",50000,2008,Ташкент
Chevrolet Damas,"Торг есть 2021г., Бензин, 10 500 км, Белый, Седан, КПП Механика, 2021 yili 13diska balon Mejikar pult qoyilgan orqa kamera tanirofkasi o…",8500,2021,Ташкент
ГАЗ 31029 (Волга),"1995г., Газ, Белый, Седан, КПП Механика, Встроенный телефон, Pikop qilingan",2026,1995,Термез
ВАЗ (Lada) 2106,"1984г., Газ-бензин, Седан, КПП Механика, Литые диски, Аудиосистема, Встроенный телефон",1381,1984,Самарканд
Москвич 401,"Торг есть 1988г., Газ-бензин, Зеленый, Седан, КПП Механика, MP3, Pul kerak srochni sotiladi",737,1988,Наманган
Chevrolet Equinox,"Торг есть 2021г., 2 л, Бензин, 100 км, Мокрый асфальт, Универсал, КПП Автомат, Ксенон, Кожа",42500,2021,Ташкент
Hyundai Sonata,"Торг есть 2000г., 2 л, Бензин, 170 000 км, Белый, Седан, КПП Автомат, Литые диски, Тонировка, Противотуманки, Велюр, Алькантара, Аудиоси…",5500,2000,Наманган
"Chevrolet Nexia 3, 2 позиция","Торг есть 2019г., 1.5 л, Бензин, 13 000 км, Седан, КПП Механика, Противотуманки, Аудиосистема, Гидравлика руля, ABS, Подушка безопасност…",9208,2019,Нукус
ВАЗ (Lada) 2107,"2010г., 2 л, Газ-бензин, 185 000 км, Седан, КПП Механика, Литые диски, Люк, Велюр, Аудиосистема, MP3, Холати зур 2010 инжектир…",3500,2010,Карши
Daewoo Nexia,"2008г., Газ-бензин, Седан, КПП Механика, Moshina zor uzim uchun yigganman popni shumka salon asvishenya magnitafon kalonka zav…",5600,2008,Ташкент
Skoda Favorit,"Торг есть 1993г., Газ-бензин, Белый, Универсал, КПП Механика, Ветровики, Ксенон, Комбинированный, MP3, Гидравлика руля, Центрозамок, Кон…",2302,1993,Хазараспский район
"Chevrolet Lacetti, 2 позиция","2013г., 1.8 л, Газ-бензин, 124 350 км, Седан, КПП Механика, Противотуманки, Обогрев зеркал, Аудиосистема, Гидравлика руля, ABS…",8000,2013,Ташкент
"Chevrolet Matiz Best, 3 позиция","2008г., 1.5 л, Газ-бензин, 100 000 км, Коричневый, Хэтчбек, КПП Механика, Рейлинги, Противотуманки, Аудиосистема, Полный элект…",4144,2008,Денау
Kia Bongo,"Торг есть 2014г., 1.3 л, Газ, Белый, Универсал, КПП Автомат, Ветровики, Обогрев зеркал, Кожа, Подогрев руля, Зимний режим, Гидравлика ру…",15500,2014,Ташкент
"Chevrolet Cobalt, 2 позиция","2019г., 1.5 л, Газ-бензин, 85 000 км, Седан, КПП Механика, Багажник, Тонировка, Спойлер, Литые диски, Обогрев зеркал, Противот…",10300,2019,Самарканд
ВАЗ (Lada) Самара (хэтчбек 2109),"1990г., Газ-бензин, Серый, Хэтчбек, КПП Механика, Багажник, Обогрев зеркал, Аудиосистема, CD, CD-чейнджер, MP3, USB, DVD, DVD-…",1289,1990,Самарканд
Hyundai Starex,"1997г., 2.2 л, Газ-бензин, Универсал, КПП Механика, Матор новый ремонт нолдан апкаткада Темир метан дакументалный запас матори…",5000,1997,Наманган
"Chevrolet Cobalt, 4 позиция","Есть доставкаТорг есть 2022г., 1.5 л, Бензин, Белый, Седан, КПП Автомат, Литые диски, Люк, Рейлинги, Противотуманки, Обогрев зеркал, Гидравлика руля,…",13000,2022,Бухара
"Chevrolet Spark, 2 позиция","Торг есть 2020г., 1.6 л, Бензин, 27 000 км, Белый, Хэтчбек, КПП Механика, Противотуманки, Обогрев зеркал, Шторки, Аудиосистема, USB, DVD…",8200,2020,Бухара
Daewoo Espero,"1995г., 2 л, Газ-бензин, Вишня, Седан, КПП Механика",4000,1995,Самарканд
"Chevrolet Lacetti, 2 позиция","Есть доставкаТорг есть 2018г., 1.5 л, Бензин, Седан, КПП Механика, Обогрев зеркал, Противотуманки, Аудиосистема, Полный электропакет, Гидравлика руля…",11400,2018,Ташкент
Daewoo Damas,"Торг есть 2008г., Газ-бензин, Молочный цвет, Седан, КПП Механика",4500,2008,Самарканд
"Chevrolet Cobalt, 2 позиция","2019г., 1.5 л, Бензин, 25 800 км, Белый, Седан, КПП Механика, Противотуманки, Обогрев зеркал, Аудиосистема, ABS, Подушка безоп…",11500,2019,Джизак
ВАЗ (Lada) 2106,"1985г., Газ-бензин, Седан, КПП Механика",2500,1985,Андижан
"Chevrolet Cobalt, 2 позиция","Торг есть 2014г., 1.5 л, Газ-бензин, 196 000 км, Дельфин, Седан, КПП Механика, Литые диски, Противотуманки, Обогрев зеркал, Аудиосистема…",8270,2014,Наманган
"Chevrolet Nexia 2, 2 позиция DOHC","Торг есть 2009г., 1.6 л, Газ-бензин, 228 000 км, Седан, КПП Механика, Аудиосистема, Гидравлика руля, Kraska bor zanglaganga eshiklarga s…",4600,2009,Шахриханский район
Daewoo Nexia,"2008г., 1.6 л, Газ-бензин, 279 000 км, Серебристый, Седан, КПП Механика, Урилмаган сурилмаган нармални састаяния",4500,2008,Ургенч
"Chevrolet Lacetti, 2 позиция","Торг есть 2013г., 1.5 л, Газ-бензин, 208 000 км, Седан, КПП Механика, Багажник, Противотуманки, Обогрев зеркал, Кожа, Аудиосистема, CD,…",8800,2013,Асакинский район
ВАЗ (Lada) Largus,"2019г., Газ-бензин, 85 км, Универсал, КПП Механика, Велюр",13900,2019,Бухара
"Chevrolet Nexia 2, 2 позиция SOHC","2009г., 7.5 л, Бензин, 12 000 км, Седан, КПП Механика, Аудиосистема, Гидравлика руля, Mashina holati a'lo kiraskasi toza. Real…",8000,2009,Самарканд
Chevrolet Damas,"Торг есть 2009г., Газ-бензин, 302 000 км, Молочный цвет, Хэтчбек, КПП Механика, Mator yangi qilingan endi 7ming yurdi, mos, karobka, xad…",4900,2009,Наманган
"Chevrolet Matiz, 4 позиция","Торг есть 2012г., 0.8 л, Газ-бензин, 215 000 км, Хэтчбек, КПП Механика, Литые диски, Рейлинги, Аудиосистема, Кондиционер",3683,2012,Навои
"Chevrolet Captiva, 4 позиция","2018г., 2.4 л, Бензин, Кроссовер, КПП Автомат, Багажник, Рейлинги, Люк, Панорамная крыша, Литые диски, Противотуманки, Обогрев…",28000,2018,Самарканд
Daewoo Tico,"1997г., Бензин, Хэтчбек, КПП Механика",1289,1997,Самарканд
"Chevrolet Cobalt, 2 позиция","2014г., 1.5 л, Газ-бензин, 90 600 км, Седан, КПП Механика, Противотуманки, Обогрев зеркал, Аудиосистема, ABS, Подушка безопасн…",7900,2014,Самарканд
Daewoo Tico,"Торг есть 1993г., 0.8 л, Бензин, 61 383 км, Белый, Хэтчбек, КПП Механика, Хрустальная оптика, Аудиосистема, Bluetooth, MP3, Краска килин…",1934,1993,Навои
"Chevrolet Lacetti, 1 позиция Газ-бензин","2019г., 1.5 л, Газ-бензин, Седан, КПП Механика, Обогрев зеркал, Аудиосистема, ABS, Кондиционер, Гидравлика руля, Полный электр…",11500,2019,Наманган
"Chevrolet Spark, 2 позиция","Торг есть 2018г., 1.3 л, Бензин, 9 750 км, Хэтчбек, КПП Механика, Противотуманки, Аудиосистема, Гидравлика руля, ABS, Подушка безопаснос…",7800,2018,Бухара
"Chevrolet Cobalt, 2 евро позиция","Есть доставка 2020г., 1.5 л, Газ-бензин, 40 000 км, Седан, КПП Механика, Литые диски, Противотуманки, Обогрев зеркал, Аудиосистема, Гидравли…",8500,2020,Ташкент
Chrysler 300C,"2007г., 2.7 л, Бензин, 158 000 км, Седан, КПП Автомат, Mashinani xarajati yoq Pul topar mashina",13000,2007,Бухара
"Chevrolet Lacetti, 2 позиция","Есть доставкаТорг есть 2009г., 1.8 л, Газ-бензин, 222 км, Седан, КПП Механика, Литые диски, Люк, Противотуманки, Обогрев зеркал, Аудиосистема, Гидрав…",8287,2009,Шерабадский район
ВАЗ (Lada) 2107,"1980г., 1.5 л, Газ-бензин, 111 111 км, Седан, КПП Механика, Алькантара, Шторки, Аудиосистема, Встроенный телефон, CD-чейнджер,…",1900,1980,Гурленский район
"Chevrolet Nexia 3, 2 позиция","Торг есть 2020г., 1.5 л, Бензин, 27 000 км, Седан, КПП Механика, Противотуманки, Аудиосистема, Гидравлика руля, ABS, Подушка безопасност…",9000,2020,Ташкент
Daewoo Damas,"1998г., Газ-бензин, Седан, КПП Механика, MP3",2300,1998,Самарканд
Daewoo Matiz (Standart),"Торг есть 2010г., Бензин, 200 км, Хэтчбек, КПП Механика, Аудиосистема, Moshina tozza hichqanaqa ishi yoq mator karopka ochilmagan hullas…",4300,2010,Ташкент
Daewoo Nexia,"2010г., Газ-бензин, 250 000 км, Белый, Седан, КПП Механика, Аудиосистема, Urilmagan kraskasi chaqa chuqalarda bor suyagi butun",6000,2010,Ташкент
Daewoo Tico,"1999г., Газ-бензин, Белый, Хэтчбек, КПП Механика, Литые диски, Тонировка, Люк, Велюр, Шторки",1842,1999,Бухара
"Chevrolet Cobalt, 2 позиция","2013г., 1.5 л, Газ-бензин, 181 000 км, Седан, КПП Механика, Противотуманки, Обогрев зеркал, Аудиосистема, ABS, Кондиционер, По…",8103,2013,Карши
"Chevrolet Spark, 2 позиция","Торг есть 2012г., 1.1 л, Газ-бензин, 335 500 км, Жёлто-зеленый, Хэтчбек, КПП Механика, Противотуманки, Аудиосистема, Гидравлика руля, AB…",7827,2012,Нукус
"Chevrolet Nexia 2, 4 позиция SOHC","2015г., 1.5 л, Бензин, 13 000 км, Белый, Седан, КПП Механика, Противотуманки, Аудиосистема, Гидравлика руля, Полный электропак…",8000,2015,Карши
Chevrolet Damas,"Торг есть 2021г., Газ-бензин, 20 000 км, Седан, КПП Механика, Аудиосистема, Radnoy toza kiraska kiriditi bor murojat uchun tel",5525,2021,Навои
Chevrolet Damas,"2011г., Газ-бензин, 400 000 км, Белый, Универсал, КПП Механика, Краска тоза мос жим каропка мотор зор чехол полик яхши балонла…",5700,2011,Фергана
ВАЗ (Lada) Largus,"Торг есть 2014г., 1.6 л, Газ-бензин, 429 000 км, Белый, Универсал, КПП Механика, Аудиосистема, ABS, Подушка безопасности, Техосмотр прой…",9500,2014,Сырдарья
"Chevrolet Spark, 4 позиция","2018г., 1.3 л, Газ-бензин, 102 000 км, Хэтчбек, КПП Автомат, Литые диски, Противотуманки, Аудиосистема, Гидравлика руля, ABS,…",8100,2018,Ташкент
"Chevrolet Nexia 2, 4 позиция DOHC","Торг есть 2010г., 1.6 л, Газ-бензин, 280 000 км, Седан, КПП Механика, Противотуманки, Аудиосистема, Гидравлика руля, Полный электропакет…",5600,2010,Ташкент
"Chevrolet Nexia 3, 2 позиция","Торг есть 2018г., 1.5 л, Бензин, 22 000 км, Белый, Седан, КПП Механика, Ветровики, Дневные ходовые огни, Противотуманки, Обогрев зеркал,…",8700,2018,Ташкент
"Chevrolet Matiz, 3 позиция","Торг есть 2005г., 0.8 л, Газ-бензин, 254 823 км, Хэтчбек, КПП Механика, Аудиосистема, Кондиционер, Mator hadavoy qilingan zor iwi yo'q t…",3500,2005,Ташкент
"Chevrolet Cobalt, 2 позиция","2018г., 1.5 л, Газ-бензин, 148 км, Белый, Седан, КПП Механика, Противотуманки, Обогрев зеркал, Аудиосистема, ABS, Подушка безо…",9200,2018,Джизак
"Chevrolet Lacetti, 1 позиция","Торг есть 2013г., 1.8 л, Газ-бензин, 91 800 км, Серый, Седан, КПП Механика, Обогрев зеркал, Аудиосистема, Гидравлика руля, ABS, Полный э…",8500,2013,Карши
Chevrolet Damas,"Есть доставка 2021г., 0.8 л, Бензин, Универсал, КПП Механика, MP3, DVD, Bluetooth, Аудиосистема, USB, Машина идеальная, 1 владелец, любая пр…",7900,2021,Ташкент
Chevrolet Damas,"Есть доставка 2021г., 0.8 л, Бензин, Универсал, КПП Механика, MP3, DVD, Bluetooth, Аудиосистема, USB, Машина идеальная, 1 владелец, любая пр…",7900,2021,Ташкент
"Chevrolet Lacetti, 1 позиция","Торг есть 2017г., 1.5 л, Газ-бензин, 87 000 км, Белый, Седан, КПП Механика, Литые диски, Тонировка, Обогрев зеркал, CD-чейнджер, Встроен…",10800,2017,Самарканд
"Chevrolet Nexia 2, 4 позиция SOHC","Торг есть 2015г., 1.5 л, Бензин, Седан, КПП Механика, Противотуманки, Аудиосистема, Гидравлика руля, Центрозамок, Кондиционер, Полный эл…",6600,2015,Самарканд
ВАЗ (Lada) 2106,"1974г., Газ-бензин, 658 956 км, Белый, Седан, КПП Механика, Машина нахаду",1105,1974,Кувинский район
"Chevrolet Nexia 2, 1 позиция SOHC","2014г., 1.5 л, Газ-бензин, 50 000 км, Седан, КПП Механика, Аудиосистема, Bitta eshikda bor",6906,2014,Чиракчинский район
Chevrolet Damas,"Есть доставка 2021г., 0.8 л, Бензин, Белый, Универсал, КПП Механика, Аудиосистема, DVD, Bluetooth, MP3, USB, Не битая, не крашенная, сел пое…",7700,2021,Ташкент
ВАЗ (Lada) 2107,"Торг есть 1996г., 1.6 л, Газ-бензин, 10 000 км, Седан, КПП Механика",2500,1996,Бухара
"Chevrolet Cobalt, 2 позиция","Торг есть 2013г., 1.5 л, Газ-бензин, 400 км, Седан, КПП Механика, Ксенон, Противотуманки, Обогрев зеркал, Аудиосистема, CD, CD-чейнджер,…",8800,2013,Джизак
"Chevrolet Captiva, 4 позиция","Торг есть 2015г., 3 л, Бензин, Кроссовер, КПП Автомат, Люк, Рейлинги, Литые диски, Панорамная крыша, Дневные ходовые огни, Противотуманк…",20500,2015,Шерабадский район
ВАЗ (Lada) 2102,"Торг есть 1971г., Газ-бензин, 500 000 км, Универсал, КПП Механика, Vaz 2102 mator 03 salon bilan kuzibga ozgina ishi bor moshitni olgan…",1381,1971,Карши
"Chevrolet Cobalt, 4 позиция","Торг есть 2021г., 1.5 л, Бензин, 2 300 км, Мокрый асфальт, Седан, КПП Автомат, Литые диски, Люк, Рейлинги, Противотуманки, Обогрев зерка…",12400,2021,Ташкент
ВАЗ (Lada) Нива,"1986г., Газ-бензин, Оранжевый, Внедорожник, КПП Механика, Техосмотр пройден, Вложений не требует, Балонлар йанги матор хадавой…",3000,1986,Самарканд
"Chevrolet Lacetti, 1 позиция","Торг есть 2015г., 1.5 л, Газ-бензин, 101 000 км, Седан, КПП Механика, Противотуманки, Обогрев зеркал, Велюр, Аудиосистема, CD, USB, Гидр…",9900,2015,Самарканд
Daewoo Nexia,"Торг есть 2007г., 1.5 л, Газ-бензин, 125 000 км, Белый, Седан, КПП Механика, Противотуманки, Аудиосистема, Встроенный телефон, CD, USB,…",4800,2007,Ургенчский район
"Chevrolet Spark, 2 позиция","Торг есть 2012г., 1.1 л, Газ-бензин, 335 500 км, Жёлто-зеленый, Хэтчбек, КПП Механика, Противотуманки, Аудиосистема, USB, Гидравлика рул…",7827,2012,Нукусский район
Daewoo Labo,"1996г., 0.9 л, Газ, 98 000 км, Внедорожник, КПП Механика, Мошинани хамма запчасини янги куйилган 4 та балон янги юмшог балон А…",5600,1996,Андижан
"Chevrolet Cobalt, 2 позиция","2020г., 1.5 л, Бензин, 20 000 км, Седан, КПП Механика, Противотуманки, Обогрев зеркал, Аудиосистема, ABS, Подушка безопасности…",10681,2020,Ургенч
"Chevrolet Lacetti, 2 позиция","Торг есть 2011г., 1.8 л, Газ-бензин, 163 000 км, Седан, КПП Механика, Тонировка, Противотуманки, Обогрев зеркал, Велюр, Аудиосистема, Ги…",6906,2011,Кошкупырский район
"Chevrolet Spark, 4 позиция","Торг есть 2021г., 1.3 л, Бензин, 18 000 км, Перламутрово-коричневый, Хэтчбек, КПП Автомат, Литые диски, Противотуманки, Аудиосистема, Ги…",9500,2021,Ташкент
Daewoo Nexia,"Торг есть 1996г., 1.5 л, Бензин, 331 476 км, Седан, КПП Механика, Литые диски, Ветровики, Противотуманки, Комбинированный, Шторки, Аудио…",4200,1996,Ташкент
Daewoo Nexia,"Торг есть 1996г., 1.5 л, Бензин, 331 476 км, Седан, КПП Механика, Литые диски, Ветровики, Противотуманки, Комбинированный, Шторки, Аудио…",4200,1996,Ташкент
ВАЗ (Lada) 2107,"Торг есть 1987г., Газ-бензин, 111 111 км, Белый, Седан, КПП Механика, Фаркоп, Ксенон, Дневные ходовые огни, Противотуманки, Шторки, Ауди…",2486,1987,Беруни
"Chevrolet Malibu, 2 позиция","2013г., 2.4 л, Газ-бензин, 107 000 км, Белый, Седан, КПП Механика, Литые диски, Люк, Противотуманки, Обогрев зеркал, Аудиосист…",14000,2013,Андижан
Daewoo Nexia II,"2009г., 1.5 л, Газ-бензин, Седан, КПП Механика, Аудиосистема, Тел килинглар гаплашамиш нархини келишамиз",5064,2009,Джизак
Москвич АЗЛК 2140,"Торг есть 1982г., Газ-бензин, 120 000 км, Зеленый, Седан, КПП Механика, Avtomobil tòliq radnoy. Metan gaz 75 òrnatilgan",1381,1982,Бухара
"Chevrolet Malibu, 2 позиция","2019г., 2.4 л, Бензин, 41 000 км, Седан, КПП Механика, Литые диски, Люк, Противотуманки, Обогрев зеркал, Аудиосистема, Гидравл…",23500,2019,Наманган
Kia Carnival,"Есть доставкаТорг есть 2008г., Газ-бензин, 3 000 км, Внедорожник, КПП Автомат, Машинада айб йук кираскаси Тоза",13000,2008,Навои
"Chevrolet Nexia 2, 4 позиция DOHC","2014г., 1.6 л, Бензин, 77 100 км, Седан, КПП Механика, Противотуманки, Аудиосистема, Гидравлика руля, Полный электропакет, Цен…",6800,2014,Алмалык
Daewoo Labo,"Торг есть 2012г., Газ, 324 237 км, Универсал, КПП Механика, Labo kares rama butun gozal xolata zavatiskoy gaz pirapan metan",8050,2012,Избасканский район
"Chevrolet Nexia 2, 2 позиция DOHC","Торг есть 2014г., 1.6 л, Газ-бензин, 144 000 км, Белый, Седан, КПП Механика, Аудиосистема, Гидравлика руля, Центрозамок, Кондиционер, Те…",5985,2014,Ханкинский район
Chevrolet Nexia 2,"2015г., 1.5 л, Газ-бензин, 156 000 км, Седан, КПП Механика, Аудиосистема, CD, MP3, USB, Сабвуфер, Гидравлика руля, Сигнализаци…",6500,2015,Багдадский район
Chevrolet Damas,"Торг есть 1997г., Газ-бензин, 222 225 км, Фургон, КПП Механика, Bluetooth, MP3, USB, Yaxshi",3000,1997,Навои
"Chevrolet Matiz, 2 позиция","Торг есть 2014г., 0.8 л, Бензин, 154 000 км, Белый, Хэтчбек, КПП Механика, Аудиосистема, Гидравлика руля, Центрозамок, Сигнализация, Авт…",4700,2014,Ташкент
ВАЗ (Lada) Granta,"Торг есть 2014г., 1.5 л, Газ-бензин, 100 000 км, Черный, Седан, КПП Механика, Аудиосистема, Встроенный телефон, Bluetooth, CD, CD-чейндж…",5000,2014,Коканд
